x,y,z
40365.08,97000,5874
45641.51,98800,5547
45171.33,95000,6112
63431.55,111800,19890
48652.56,89000,7461
55237.91,111800,7778
59289.35,104200,24000
59190.63,112600,30726
59522.71,120400,10090
63453.08,100900,24792
50487.79,83000,6009
46710.02,99900,6270
41386.98,97000,5975
44610.73,99000,6090
62928.78,129500,39521
63433.53,99500,28510
52895.14,95100,7764
65616.22,108900,33142
64098.01,106100,38754
52696.79,99200,27270
60312.67,111300,10107
62294.9,111900,10289
64591.02,109000,39858
62889.32,103900,8034
67900.72,119500,42288
71777.6,138300,49940
54749.32,102900,8145
61069.68,106600,29640
68135.42,122800,45617
59410.15,94600,9369
69394.59,105400,33350
60334.44,99800,31100
72830.78,110400,39560
60832.56,97900,9326
78969.24,134600,47140
84046.3,131500,50152
51671.91,92200,9936
52873.76,97200,26832
81652.61,144800,50665
66384.94,96800,35600
56698.35,75900,17151
61319.18,96600,33130
50901.08,93400,10190
74767.83,99400,35256
74533.27,121400,48791
61274.66,113800,33778
69357.81,94500,9684
68457.57,102600,30640
52799.06,95000,9536
70213.56,112500,41710
54310.26,103500,29258
55668.91,105800,25450
72929.99,92400,31360
79754.75,143300,49098
61868.46,91500,29168
54158.04,95500,9936
51740.58,90600,24300
67783.54,95100,9411
67401.72,99000,41100
85923.51,129400,47760
64787.49,100300,19980
88627.42,133800,46230
55815.84,94800,9380
64312.9,103400,35900
51271.33,95500,9806
58125.99,102500,32692
71914.01,112900,32240
65479.69,100100,10918
56588.57,106900,29840
76394.18,100600,38832
45385.58,93400,21360
69149.16,90500,26918
63381.69,105400,14610
63381.69,94200,13354
63381.69,98200,13598
63381.69,95500,13902
63381.69,101900,13964
63381.69,99300,14610
63381.69,99900,13660
63381.69,97800,14610
63381.69,104300,14610
63381.69,96900,13964
63381.69,96700,13546
63381.69,95200,13902
63381.69,120200,17514
63381.69,94300,13660
63381.69,95500,13670
63381.69,97500,13954
63381.69,92000,13902
63381.69,105000,13964
"78,252,145,749,536",0,
73972.42,108300,36670
75947.63,104500,39908
69912.01,97600,23920
72732.06,114500,37466
58452.18,97800,13372
58452.18,103100,13382
58452.18,102200,13374
58452.18,127200,18192
54201.1,99500,28250
59274.33,105100,27194
57790.62,88400,32500
55181.27,106000,32178
54143.22,105900,32392
73943.5,113400,41044
63560.54,97900,10052
54113.09,99900,9645
78121.47,143100,47442
54604.75,92300,28868
63922.06,94500,20394
90091.77,132600,47616
52961.26,101900,22030
74655.83,107200,9462
56138.86,102800,34105
69397.52,103200,41224
56456.55,105300,32356
79027.35,145700,49346
61569.63,91300,8197
72503.8,107700,12862
80568.35,127300,45840
56100.72,107800,24860
57179.15,103000,23440
66962.7,114100,11322
66736.53,107300,11364
64586.36,127500,14272
64434.93,104500,20430
56463.66,97100,28100
57374.47,99300,33315
49042.79,92700,10100
52256.85,92200,10752
57421.47,95800,25000
55701.04,111600,16290
62666.83,108200,36130
53123.12,97600,9878
60345.78,92700,9848
62188.24,122000,11482
64299.08,100900,10530
48129.81,76000,10088
54689.19,95000,10818
58378.35,104400,14456
61134.14,117000,38705
60196.68,116400,30090
49477.45,98800,8004
52093.19,104700,7974
47601.81,98200,24800
48289.97,102400,7887
53049.11,106800,8172
57493.05,104600,26240
53799.09,104900,8457
52472.51,101100,7501
61604.19,114800,10892
70368.62,115800,30000
53143.24,103900,25360
61225.91,110500,30166
59163.95,98900,21210
66979.13,117600,28624
47640.99,106800,8153
"48,448,100,526,480",0,
59528.63,108800,15000
57523.24,105200,32866
58823.6,102900,8903
60340.43,103100,8080
73395.81,130600,43224
55964.16,108700,8356
60752.93,121400,12436
48533.54,105000,8326
49227.15,110200,8011
59625.44,102600,23748
49705.55,96000,22670
58820.27,116300,29190
76279.78,149800,44712
67136.19,109200,30830
49632.36,97000,6892
74623.54,116500,36230
73627.32,123900,40198
72128.5,99800,28160
54287.8,96300,7976
71641.68,105500,24890
75912.69,121700,35800
56363.11,98200,24218
57562.14,98000,6202
59593.97,103000,24500
72476.33,106000,29800
59551.33,89400,5780
68874.27,115400,8759
57117.25,78600,14346
59715.43,96300,27798
53474.77,97400,8002
43910.56,90500,6635
63985.71,115800,27900
51468.15,101800,20360
62566.96,104700,26100
52571.87,88700,25763
57712.44,100200,8005
72891.36,109300,9730
52505.04,92000,26148
35906.7,92400,7292
57579.55,85700,9745
77707.58,148200,42253
71197.81,113500,38720
71790.89,110300,30310
63900.24,99700,7618
56236.53,103800,27160
82038.46,133000,48190
59789.49,94900,19180
75446.44,116800,37560
60702.32,100100,7560
66830.13,103800,9348
57388.77,90400,19916
40704.93,84200,5927
55170.11,95900,6630
45266.24,93700,7700
67194.13,121200,10176
66876.51,103800,9208
72284.1,129700,9806
79361.13,126500,10864
46777.52,93300,7259
53622.93,105900,7312
76266.48,122000,40720
65468.32,100600,27900
47475.29,96500,5250
63798.29,104300,7447
53781.71,81700,8726
65284.89,113400,8028
62890.39,100300,24454
69739.2,94100,6948
78650.29,129400,37856
51385.91,97100,7041
64914.81,129000,5150
69190.39,109800,5100
55546.63,107800,6300
60534.36,108400,7260
69474.52,113000,8197
70649.66,112400,31528
61392.97,95900,11282
72226.81,115600,37536
60809.44,97500,11018
58494.41,93700,11018
77169.17,138300,47828
60680.57,89400,23260
74257.05,121100,16768
58009.31,91300,30900
65460.25,103400,31480
83534.79,135300,19372
64029.38,105100,16478
79798.8,115500,12526
53554.3,98000,30900
59648.45,100900,32300
59937.19,88100,30835
95275.15,115300,10952
68823.49,111200,41730
65714.12,102000,23112
"65,801,112,435,635",0,
81580.49,113400,10018
62401.61,107000,20109
69841.16,98500,11910
73876.57,101400,35555
62187.09,100900,30331
83782.23,111000,11130
89815.48,99900,28310
56695.39,80800,8366
63797.48,102000,9480
76295.38,109800,37600
68832.25,101400,35410
83716.34,133700,48090
74630.57,109200,39791
74666.57,100500,30760
65610.54,104100,14900
72916.57,109800,34935
48782.99,94200,9220
77607.85,121000,12485
72221.8,109700,12772
79524.13,136400,15192
73425.96,113900,16536
59119.77,85700,8226
71508.51,98200,34428
80995.13,139500,46417
63170.67,97800,8688
56952.77,97000,7866
63843.36,106700,8380
67848.44,120500,37990
71872.75,99600,28087
65366.76,111700,37950
61347.58,104700,33194
72206.46,114500,37086
70785.55,119200,39690
59374.31,106200,26382
"63,710,103,911,967",0,
69752.4,125800,11839
66707.46,111400,8611
70542.39,131400,46138
53018.22,90700,26500
50707.64,99400,26100
41360.98,99400,6902
46441.47,92800,27492
42179.08,96200,6620
45141.01,102800,6814
62744.63,99500,6830
48790.55,92700,6662
"468,629,846,702",0,
54372.93,101500,28792
57483.6,107800,7632
49606.73,103200,28030
58784.16,91000,25660
64348.07,102800,27540
73362.92,108700,29535
76392.24,114500,38375
64715.84,106600,27100
68115.77,105000,26550
62779.58,90700,25050
63695.21,95000,27210
75591.25,121900,37170
68757.09,124800,36540
62361.14,90200,26760
66802.94,110500,36514
71321.9,112500,34237
56953.94,109000,25050
67955.05,105000,7637
64551.11,111000,8822
63413.11,107000,7824
"6,437,411,308,832",0,
69126.34,110100,27040
64650.08,103000,7487
64274.59,97000,7341
65020.23,103000,9203
53835.5,99000,8036
71185.17,130000,10415
65921.14,105000,9429
61602.16,109000,7488
69159.98,105000,7937
62211.59,105000,7672
56061.18,112200,4892
80275.59,147900,46320
68624.95,123100,10002
65255.68,128500,6916
72827.06,95500,7269
69752.4,103700,11758
69752.4,96600,11905
61067.78,100300,20790
69074.33,109100,9684
69074.33,111300,9684
62394.85,108100,6118
80999.86,98800,11324
80999.86,104600,11324
80999.86,100900,11334
70283.94,123100,27800
76621.08,102500,13208
72612.62,109800,18479
50250.04,92500,15140
